destination,family,model,conditioning_tag,training_stage,source_datasets,fold,size_bytes,sha256,source
models/base/base_model_a_mptrj.nequip.pth,base,a,MPtrj,base training,MPtrj; SPICE2,,13002320,7dc68399cff06164b48631f2dbb8b493e5fbf4acc0479cb776c36d04b3ee071a,base_shiftsinit/modelA_shiftsinit_tag0_gpu.nequip.pth
models/base/base_model_a_spice2.nequip.pth,base,a,SPICE2,base training,MPtrj; SPICE2,,13002320,f7c59b054e2868bc94a63112d1d880480c495c7e04087b490a468ceb062986d7,base_shiftsinit/modelA_shiftsinit_tag1_gpu.nequip.pth
models/base/base_model_b_mptrj.nequip.pth,base,b,MPtrj,base training,MPtrj; SPICE2; OMC25,,13003704,ecc59a23487cdbe68de1592579334ed507ecc888f8a0874bc29610d5a9b315d8,base_shiftsinit/modelB_shiftsinit_tag0_mptrj_gpu.nequip.pth
models/base/base_model_b_spice2.nequip.pth,base,b,SPICE2,base training,MPtrj; SPICE2; OMC25,,13003704,b2736f72490667c3d3454a3a8e465e972498df2e408bd3fc82bb326f43cc5279,base_shiftsinit/modelB_shiftsinit_tag1_spice_gpu.nequip.pth
models/base/base_model_b_omc25.nequip.pth,base,b,OMC25,base training,MPtrj; SPICE2; OMC25,,13003704,45c311fc7a2b6bfd6422ff756af1237f204e0f5e385b4f401ac6a45326ca9776,base_shiftsinit/modelB_shiftsinit_tag2_omc25_gpu.nequip.pth
models/base/base_model_c_mptrj.nequip.pth,base,c,MPtrj,base training,MPtrj; SPICE2; T1x,,13003704,e2860483be5e7c4bac3bf18ed0361a3286f54be4b7bd711350bb1217146d34a6,base_shiftsinit/modelD_shiftsinit_tag0_mptrj_gpu.nequip.pth
models/base/base_model_c_spice2.nequip.pth,base,c,SPICE2,base training,MPtrj; SPICE2; T1x,,13002320,39eb243c2ba490a72cdb9d92367ff6a2a4565f76771074718a553445534b8eda,base_shiftsinit/modelD_shiftsinit_tag1_gpu.nequip.pth
models/base/base_model_c_t1x.nequip.pth,base,c,T1x,base training,MPtrj; SPICE2; T1x,,13002320,ecdccaa170bb15b09fbec1a4d2c8199764e8e4271c8833fef0b553529d749152,base_shiftsinit/modelD_shiftsinit_tag2_gpu.nequip.pth
models/base/base_model_d_mptrj.nequip.pth,base,d,MPtrj,base training,MPtrj; SPICE2; T1x; OMC25,,13002448,7b052e43d8d750b65d8b86bd8a90d6e7e38099950901538a7c5adfffc06473db,base_shiftsinit/modelC_shiftsinit_tag0_gpu.nequip.pth
models/base/base_model_d_spice2.nequip.pth,base,d,SPICE2,base training,MPtrj; SPICE2; T1x; OMC25,,13002448,b110b737032ef84ea4fcff18bba31c4ab07f4e5be51e197729304f71b70c1573,base_shiftsinit/modelC_shiftsinit_tag1_gpu.nequip.pth
